filename,link
13419.jpg,http://assets.myntassets.com/v1/images/style/properties/8d7f0bbb0bdefcbcc692bcdf4a6400ee_images.jpg
12993.jpg,http://assets.myntassets.com/v1/images/style/properties/6bb0dda205ff23b2b1fda526a3c74374_images.jpg
6617.jpg,http://assets.myntassets.com/v1/images/style/properties/5c0c7cee1d5905a18f6a8d4821ae21aa_images.jpg
54127.jpg,http://assets.myntassets.com/v1/images/style/properties/50c7dd932d347768b05766e5dd231355_images.jpg
4716.jpg,http://assets.myntassets.com/v1/images/style/properties/d63e1260ab9823cd64cbe4336a5bb94d_images.jpg
52486.jpg,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Maroon-Bra_c75c0ad76e53ba58736e6f8fd21d07b0_images.jpg
17416.jpg,http://assets.myntassets.com/v1/images/style/properties/1279efc8b61fb461a804f0c1f82f276b_images.jpg
27283.jpg,http://assets.myntassets.com/v1/images/style/properties/1dea61d01ec84aed63dcbb32adda717a_images.jpg
22705.jpg,http://assets.myntassets.com/v1/images/style/properties/9f8463e724322e0b47cc9f615acab635_images.jpg
6889.jpg,http://assets.myntassets.com/v1/images/style/properties/01c417703d7775105ba346c691f4700b_images.jpg
31312.jpg,http://assets.myntassets.com/v1/images/style/properties/8e6291cb947f1d35eb4ebc3c73baf1eb_images.jpg
14869.jpg,http://assets.myntassets.com/v1/images/style/properties/09fca1f67e3f78b18f76473749d93e59_images.jpg
13846.jpg,http://assets.myntassets.com/v1/images/style/properties/5f2cc2a725967d426cc03f4a3fbb93c1_images.jpg
18002.jpg,http://assets.myntassets.com/v1/images/style/properties/c6a98b1107df02d5791d0006235939df_images.jpg
44722.jpg,http://assets.myntassets.com/v1/images/style/properties/Lotto-Women-Blue---Red-Disco-Holic-Flip-Flops_0eabb4ca00b0b575b10fa37c8c8bd4a0_images.jpg
52475.jpg,http://assets.myntassets.com/assets/images/52475/2016/1/4/11451906716090-Red-Rose-Women-White--Red-Polka-Dot-Print-Bath-Robe-8241451906713582-1.jpg
8914.jpg,http://assets.myntassets.com/v1/images/style/properties/b1d9e4498de202e29570bd08090f26a9_images.jpg
55496.jpg,http://assets.myntassets.com/v1/images/style/properties/Revlon-Color-Brust-Hot-Pink-Lip-Gloss-10_edeac468abc18e53ae151c9947320d1b_images.jpg
36792.jpg,http://assets.myntassets.com/v1/images/style/properties/9d0dd0e253b33b263398d4bf0e13b4af_images.jpg
40971.jpg,http://assets.myntassets.com/v1/images/style/properties/e5b5823706a1c890f4300f30c92f59b2_images.jpg
59252.jpg,http://assets.myntassets.com/v1/images/style/properties/Titan-Men-White-Watch_4a096c721912e73a43fff73398626a2a_images.jpg
54915.jpg,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Off-White-Men-T-shirt_61eae1ea7af11b36fa4ed14a9f99f234_images.jpg
57555.jpg,http://assets.myntassets.com/v1/images/style/properties/Lotus-Herbals-SPF-10-Tulip-Love-Lipstick-417_2ac58db59be96dc1ad1241be06c8bc01_images.jpg
46427.jpg,http://assets.myntassets.com/v1/image/style/properties/46427/Timex-Men-Black-Dial-Watch_1_321fd855dc392831a8d6ec2cb66480b5.jpg
7700.jpg,http://assets.myntassets.com/v1/images/style/properties/fabf230ba43bdd949ef5b6f97c1d7bcf_images.jpg
17043.jpg,http://assets.myntassets.com/v1/images/style/properties/525f30ac2bcf55f1da135dcc70a1c296_images.jpg
35313.jpg,http://assets.myntassets.com/v1/images/style/properties/5ee4cbb5ba455589fad45bd33fb24914_images.jpg
44384.jpg,http://assets.myntassets.com/v1/images/style/properties/45d19055b3ec74a52a05ff1b687f2b4b_images.jpg
12367.jpg,http://assets.myntassets.com/v1/images/style/properties/Reid---Taylor-Men-White-Shirt_7868945b6d3a95140b08b1719b0092f1_images.jpg
36902.jpg,http://assets.myntassets.com/v1/images/style/properties/e3a23485b5c4be965dec93d968c17950_images.jpg
8542.jpg,http://assets.myntassets.com/v1/images/style/properties/09118611ddca6a40290b7edb969da97e_images.jpg
46282.jpg,http://assets.myntassets.com/v1/images/style/properties/a57037b3e91bd33a40fec7cac55f0f4d_images.jpg
57760.jpg,http://assets.myntassets.com/v1/images/style/properties/Lotus-Herbals-Tea-Tree-Face-Wash_0881dac92b7493364a426f1093dd38ee_images.jpg
33017.jpg,http://assets.myntassets.com/v1/images/style/properties/8a98e879b59cc0c49aed707975c5f145_images.jpg
36101.jpg,http://assets.myntassets.com/v1/images/style/properties/2bfdc0942c6fa703e80690fb1214e902_images.jpg
57196.jpg,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Red-Tunic_877de2d4758c8b998a61cebb8c5b3b38_images.jpg
54713.jpg,http://assets.myntassets.com/v1/images/style/properties/Shree-Women-Cream-and-Pink-Salwar-Suit_4c615ca1256be495fdb6cf6e35b050e8_images.jpg
48728.jpg,http://assets.myntassets.com/v1/images/style/properties/b43abda6bdec9a91404041f3488e7413_images.jpg
7753.jpg,http://assets.myntassets.com/v1/images/style/properties/3090de677a92eb346719f0632e939062_images.jpg
22767.jpg,http://assets.myntassets.com/v1/images/style/properties/2e3e23af2fc9d098ad191f998e590d63_images.jpg
17813.jpg,http://assets.myntassets.com/v1/images/style/properties/489abfd6cc785c67b99041f7217d33c9_images.jpg
12139.jpg,http://assets.myntassets.com/v1/images/style/properties/dee458d60da1bbc29db97e2fd6cbbb9f_images.jpg
25589.jpg,http://assets.myntassets.com/v1/images/style/properties/bb7a9407aea78c7e7f4e7aabc9306ac6_images.jpg
29176.jpg,http://assets.myntassets.com/v1/images/style/properties/0306ed2619dc70f26359986b5ed7a8a0_images.jpg
19525.jpg,http://assets.myntassets.com/v1/images/style/properties/8486f2e34dcdb0462791a33dde46a010_images.jpg
50378.jpg,http://assets.myntassets.com/v1/images/style/properties/Vishudh-Women-Red---White-Salwar-and-Dupatta_c5a1ad65a8a37841f39fc1ad951bf5f5_images.jpg
44778.jpg,http://assets.myntassets.com/v1/images/style/properties/ca1b67f7619633fc7223b90322f5cf7a_images.jpg
49067.jpg,http://assets.myntassets.com/v1/images/style/properties/6a8dffc681c9af0e629d5485f77999a5_images.jpg
14454.jpg,http://assets.myntassets.com/v1/images/style/properties/4cc0bb7fe95fc7f26cb44505c85a91a3_images.jpg
5231.jpg,http://assets.myntassets.com/v1/images/style/properties/05f1400b589affd98c504f50c5ec5fb2_images.jpg
