id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Kids Adispeed Black Sports Shoes
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011,Casual,Spykar Men Black and white Check Shirt
54127,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Heels
4716,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Sports,ADIDAS Unisex Response ST Analogue Black Watch
52486,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,2015,Casual,Red Rose Maroon Camisole
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Lotto Men Atlantica Black Sports Shoe
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,2011,Ethnic,Mother Earth Women Magenta Kurta
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men White Capri II Casual Shoe
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual,Forever New Women Stone Cream Jacket
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012,Ethnic,W Women Peach Kurta
14869,Men,Accessories,Wallets,Wallets,Black,Summer,2011,Casual,United Colors of Benetton Men Solid Black Wallets
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,John Miller Men Stripes Blue Shirts
18002,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Puma Women Essential Skinny Black 3/4 Pant
44722,Women,Footwear,Flip Flops,Flip Flops,Orange,Summer,2012,Casual,Lotto Women Red & Orange Disco Holic Flip Flops
52475,Women,Apparel,Loungewear and Nightwear,Bath Robe,White,Winter,2015,NA,Red Rose White & Red Dot Print Bath Robe
8914,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Puma Men Future Cat Remix SF White Sports Shoes
55496,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017,Casual,Revlon ColorBurst Hot Pink Lip Gloss 10
36792,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Dial Attivo Watch
40971,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2012,Casual,Buckaroo Men Brown Casual Shoes
59252,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Titan Men White Dial Automatic Watch NB9365SL01
54915,Men,Apparel,Topwear,Tshirts,Cream,Summer,2012,Casual,Do u speak Cream Men T-shirt
57555,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017,NA,Lotus Herbals SPF-10 Tulip Love Lipstick 417
46427,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Timex Men Black Dial Watch
7700,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Jealous 21 Women's All Girls Dying Jealousy Pink Top
17043,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013,Casual,Gas Men Skate 003 Casual Shoe
35313,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016,Ethnic,Fabindia Women Anusuya Silver Earrings
44384,Women,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,Spinz Women Enchante Deo
12367,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Reid & Taylor Men White Shirt
36902,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Fossil Men Silver-Toned Dial Chronograph Watch FS4643
8542,Women,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Crocs Women Abf Single Flip Slippers
46282,Women,Apparel,Topwear,Tunics,Yellow,Summer,2012,Casual,109F Women Yellow Tunic
57760,Women,Personal Care,Skin Care,Face Wash and Cleanser,White,Spring,2017,NA,Lotus Herbals Tea Tree Face Wash
33017,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Mother Earth Women Striped Green Kurta
36101,Men,Accessories,Wallets,Wallets,Brown,Summer,2012,Casual,OTLS Men Josh Brown Wallet
57196,Women,Apparel,Topwear,Tunics,Red,Summer,2012,Casual,Elle Women Red Tunic
54713,Women,Apparel,Apparel Set,Kurta Sets,Cream,Fall,2012,Ethnic,Shree Women Cream-Coloured & Pink Printed Salwar Suit with Dupatta
48728,Women,Accessories,Jewellery,Earrings,Silver,Summer,2015,Casual,Lucera Women Silver Earrings
7753,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Fila Men's Victory Black Shoe
22767,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,BIBA Women Solid Green Kurta
17813,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Lee Cooper Men  Brown Casual Shoe
